type	latitude	longitude	name	color
W	50.5081866	9.9838257		#00008c
W	50.5343804	10.0689697		#00008c
W	50.5936992	10.1211548		#00008c
W	50.8701115	9.4839478		#00008c
W	50.8857087	9.5333862		#00008c
W	50.8874414	9.5965576		#00008c
W	50.8753111	9.6844482		#00008c
W	50.8735780	9.6871948		#00008c
W	50.8354323	9.7531128		#00008c
W	50.8441045	9.7462463		#00008c
W	50.8094060	9.8602295		#00008c
W	50.7746817	9.9645996		#00008c
W	50.6981974	10.0744629		#00008c
W	50.7607847	10.0140381		#00008c
W	50.7781553	9.5635986		#00008c
W	50.7677337	9.7613525		#00008c
W	50.7677337	9.8822021		#00008c
W	50.7503593	9.9755859		#00008c
W	51.0033857	9.7833252		#00008c
W	50.9618867	9.8876953		#00008c
W	50.9238133	9.9700928		#00008c
W	50.8891740	10.1074219		#00008c
W	50.8128770	10.2392578		#00008c
W	50.7538347	10.3546143		#00008c
W	50.7051556	10.4370117		#00008c
W	50.9376617	10.2172852		#00008c
W	50.9272758	10.3436279		#00008c
W	50.9307380	10.5523682		#00008c
W	50.9203505	10.6896973		#00008c
W	50.9064969	10.8380127		#00008c
W	51.0068423	10.1568604		#00008c
W	51.1586769	10.1513672		#00008c
W	51.1242128	10.1513672		#00008c
W	51.0862725	10.1733398		#00008c
W	50.9791824	10.9698486		#00008c
W	51.0206660	11.1016846		#00008c
W	51.0931731	11.2609863		#00008c
W	51.4471603	10.8050537		#00008c
W	51.4882243	10.9204102		#00008c
W	51.5668270	11.0577393		#00008c
W	51.6180165	11.1840820		#00008c
W	51.5224161	11.1071777		#00008c
W	51.4745404	11.1566162		#00008c
W	51.4574298	11.2445068		#00008c
W	51.3992057	11.3049316		#00008c
W	51.3580616	11.4147949		#00008c
W	51.2894059	11.5026855		#00008c
W	51.2447246	11.5466309		#00008c
W	51.6861795	11.3543701		#00008c
W	51.6521109	11.4312744		#00008c
W	51.6043716	11.5466309		#00008c
W	51.6009598	11.5521240		#00008c
W	51.5087425	11.6510010		#00008c
W	51.5685343	11.6125488		#00008c
W	51.4848037	11.7059326		#00008c
W	51.4676970	11.7416382		#00008c
W	51.4488721	11.7828369		#00008c
W	51.4163381	11.8377686		#00008c
W	51.4043461	11.8624878		#00008c
W	51.5821899	11.6592407		#00008c
W	51.6060775	11.7443848		#00008c
W	51.7712392	11.6152954		#00008c
W	51.7474386	11.6867065		#00008c
W	51.6946927	11.7553711		#00008c
W	51.6691484	11.7910767		#00008c
W	51.6111946	11.8817139		#00008c
W	51.5412106	11.9970703		#00008c
W	51.5155798	12.0712280		#00008c
W	51.5821899	11.9476318		#00008c
W	51.8544424	11.8597412		#00008c
W	51.8938985	11.8185425		#00008c
W	51.8476561	11.8350220		#00008c
W	51.7712392	11.8432617		#00008c
W	51.7457381	11.8569946		#00008c
W	51.7321316	11.9586182		#00008c
W	51.7457381	12.0767212		#00008c
